MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall
26.46,19.38,90.6,57.17,31.74,29.2
26.73,20.02,94.2,59.11,30.6,28.66
28.72,21.88,73.5,49.62,26.8,29.16
29.46,23.09,70.2,41.41,25.66,29.79
31.58,24.45,61.94,31.32,13.53,29.87
29.86,24.08,84.5,37.37,21.93,29.74
27.72,21.47,89.4,62.27,40.47,29.41
27.86,21.02,88.1,51.52,25,29.07
29.79,22.64,96.2,59.59,32.13,25.66
31.56,23.95,96.2,60.06,22.79,27.64
30.44,24.18,87.7,60.13,35.66,27.76
28.66,22.64,90,70.2,42.53,28.48
29.19,22.47,91,68.37,38.94,23.77
31.9,24.94,89.5,55.69,27.05,24.63
36.15,26.02,87.6,61.65,24.72,26.55
40.33,29.5,85.6,34.49,8.86,27.45
34.16,26.38,80.9,44.12,22.19,28.58
35.5,26.3,88.4,54.36,20.39,28.59
38.2,27.61,81.4,48.19,13.06,28.01
39.33,28.17,79.8,47.39,9.86,26.36
37.36,29.07,85.6,32.47,6.463,29.29
32.1,24.98,73.9,38.9,23.79,29.55
30.45,23.43,90.2,56.92,23.2,27.61
34.7,25.28,92.1,60.24,28.45,28.51
40.87,29.02,93.1,43.43,9.06,28.41
30.25,25.32,87.1,60.2,18.48,25.6
30.04,24,91,65.34,37.65,27.39
34.9,26.5,91.4,45.97,11.06,26.58
28.59,23.22,74.8,43.09,28.46,21.35
28.52,21.68,95,65.91,32.06,27.49
29.72,22.66,91.2,54.17,19.06,28.63
33.36,24.33,77.7,40.19,18.46,28.46
32.9,25.84,73.2,42.52,20.66,28.2
29.52,23.93,68.66,45.23,27.2,27.86
29.32,22.88,76.4,60.04,31.59,26.57
30.36,23.26,76,56.42,37.07,27.85
32.43,24.8,88.6,61.08,33.32,27.58
33.16,25.3,87.1,56.19,27.53,26.88
33.03,25.57,75.8,42.47,19.99,26.87
35.15,26.45,76.5,48.5,24.12,25.93
36.43,27.64,84.7,41.39,7.8,19.32
32.43,25.02,61.51,35.53,15.86,27.72
34.96,27.47,61.92,34.49,18.79,27.77
34.3,26.55,63.72,35.94,12.39,28.27
35.69,25.82,64.01,38.43,13.59,27.38
36.48,27.58,77.6,34.63,13.33,27.43
30.12,24.03,94.7,63.41,41.19,26.36
29.98,23.83,84.2,57.67,27.73,26.22
32.56,25.01,85.9,46.37,13.79,26.34
35.43,26.81,64.85,35.63,17.39,23.33
38.93,28.54,56.76,31.79,10.53,23.44
37.14,27.23,86,45.89,19.39,24.47
26.81,22.58,86,70.3,47.41,18.07
26.86,21.99,88.5,64.07,38.93,23.64
26.39,21.3,79.4,61.47,33.6,24.53
26.53,21.56,82.9,57,30,26.16
28.92,22.47,86.2,46.19,23.4,26.29
32.23,23.74,87.7,43.06,12.66,26.46
33.83,25.67,43.57,25.71,10.79,25.47
38.48,28.23,41.03,20.28,5597,23.54
33.36,26.49,50.28,27.85,7.93,25.74
31.63,24.74,92.8,53.93,20,24.73
34.83,26.32,77.5,35.86,12.19,25.54
33.16,26.3,50.97,31.43,18.53,25.34
35.1,27.14,55.38,32.73,18.39,24.69
34.63,26.71,72.8,35.39,15.86,24.94
33.63,25.61,92,49.54,22.52,24.7
39.67,28.99,95.7,34.01,5928,25.51
40.33,30.31,41.63,21.28,8.99,21.51
38.73,30.23,47.96,23.86,10.53,23.79
35.95,26.45,84.6,32.5,11.33,23.52
