MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall,ET_PM
32.56,25.01,85.9,46.37,13.79,26.34,13.016691230558116
35.43,26.81,64.85,35.63,17.39,23.33,9.979601015514124
38.93,28.54,56.76,31.79,10.53,23.44,8.9433910372332
37.14,27.23,86.0,45.89,19.39,24.47,12.835937782731458
26.81,22.58,86.0,70.3,47.41,18.07,19.316846027342443
26.86,21.99,88.5,64.07,38.93,23.64,17.69926859525589
26.39,21.3,79.4,61.47,33.6,24.53,17.03879296139775
26.53,21.56,82.9,57.0,30.0,26.16,15.83581858521837
28.92,22.47,86.2,46.19,23.4,26.29,12.886635400176207
32.23,23.74,87.7,43.06,12.66,26.46,12.09626912693582
33.83,25.67,43.57,25.71,10.79,25.47,7.231960244157229
38.48,28.23,41.03,20.28,5597.0,23.54,1.3894470788475166
33.36,26.49,50.28,27.85,7.93,25.74,7.847940413798093
31.63,24.74,92.8,53.93,20.0,24.73,15.078523156951862
34.83,26.32,77.5,35.86,12.19,25.54,10.077006894323484
33.16,26.3,50.97,31.43,18.53,25.34,8.797336670699151
35.1,27.14,55.38,32.73,18.39,24.69,9.161935119649932
34.63,26.71,72.8,35.39,15.86,24.94,9.921778963850082
33.63,25.61,92.0,49.54,22.52,24.7,13.828877778843719
39.67,28.99,95.7,34.01,5928.0,25.51,1.9990140570709836
40.33,30.31,41.63,21.28,8.99,21.51,5.993161427539239
38.73,30.23,47.96,23.86,10.53,23.79,6.71295465137739
35.95,26.45,84.6,32.5,11.33,23.52,9.13775331750304
36.22,26.83,87.3,42.7,9.79,24.08,12.017334462924067
34.3,25.58,73.1,37.7,8.2,24.84,10.621214354064298
29.59,23.62,83.7,50.69,21.07,23.64,14.16320351187501
28.52,23.11,90.1,68.16,44.59,22.27,18.761919048153352
30.71,23.48,91.8,69.74,38.05,20.48,19.276187605582276
35.36,25.92,90.2,64.53,17.72,19.57,18.068656401375915
29.99,23.76,93.1,72.9,46.59,19.11,20.041215057804873
32.1,24.75,91.3,71.7,41.78,21.57,19.771333866068474
32.56,24.63,93.3,66.49,32.25,15.89,18.445547464443617
30.23,23.61,93.9,73.1,45.33,20.88,20.112096135001913
28.91,21.58,94.0,76.5,45.79,16.39,21.041384013507383
26.86,21.71,86.2,67.26,39.93,21.35,18.568843310001707
29.04,21.51,84.6,51.61,19.19,22.77,14.437527180420505
34.23,24.22,63.99,34.2,10.53,23.14,9.62097199120378
28.26,22.15,83.1,59.37,27.36,21.39,16.521972486860232
26.99,21.42,89.3,59.09,26.06,22.49,16.457438486069012
27.52,20.56,88.9,60.54,22.73,22.79,16.8971468161446
28.72,20.96,97.0,72.1,28.53,19.17,20.049010258264435
29.9,21.92,93.8,65.98,32.65,20.88,18.29934668578687
31.36,22.72,92.6,63.58,30.92,20.74,17.65318701451675
32.3,23.62,82.5,43.66,19.73,21.28,12.209546626983368
34.75,24.43,56.92,27.2,9.66,21.72,7.65626354529618
34.96,24.65,58.8,31.9,10.33,21.68,8.975246746487667
34.23,24.96,51.59,24.89,9.66,14.79,7.006190489551254
30.31,22.86,59.4,34.72,16.39,21.27,9.730810065283661
28.72,23.27,67.45,41.92,22.93,19.68,11.699475118836917
24.54,19.53,46.59,33.66,17.6,20.99,9.426504724054473
25.19,18.05,59.14,40.73,25.0,21.14,11.35241317897342
25.07,18.56,86.4,55.88,22.27,19.33,15.601135088041124
26.79,19.38,89.4,66.35,22.26,16.98,18.524262166134754
29.1,20.9,94.1,65.3,29.66,19.45,18.145180239735225
26.6,20.17,89.6,74.1,43.27,16.67,20.413854877811705
27.39,20.29,86.4,64.5,36.33,14.11,17.84745754273561
28.44,19.94,92.4,67.87,29.06,15.56,18.866559916343892
27.32,19.72,96.1,68.8,29.99,15.12,19.11362571727911
22.88,18.55,90.9,49.37,27.2,17.38,13.740239621063264
21.3,16.04,83.7,62.35,34.62,8.49,17.27118706555823
23.41,17.63,85.7,45.9,24.74,14.17,12.794686072511269
28.79,20.8,73.8,42.64,18.26,19.09,11.935635430902895
29.51,19.99,65.1,38.54,13.93,19.36,10.818085021378376
27.46,19.72,88.2,50.43,25.8,18.64,14.047898465842064
27.99,19.25,94.7,60.97,21.2,17.06,17.0336545488436
25.39,18.19,96.2,72.1,37.01,17.81,19.941311966546436
24.68,17.8,92.4,74.8,44.01,15.13,20.596894234580596
26.59,18.22,93.8,74.7,40.93,17.06,20.609343658353986
28.59,18.65,91.6,60.0,14.66,17.13,16.833141441547266
28.12,19.86,84.2,44.89,20.33,17.24,12.548539238052872
27.4,20.66,58.32,37.92,17.87,17.71,10.617447117064373
19.12,14.42,92.6,71.8,52.81,5064.0,19.6616313733901
19.03,12.44,90.7,60.95,30.16,13.11,16.931031760701103
20.3,13.12,89.0,54.31,24.15,15.28,15.144488037147564
20.23,14.28,78.3,53.18,31.56,13.2,14.759851385762875
23.68,15.9,91.8,65.93,31.41,16.96,18.299866063472354
22.74,15.31,91.9,68.61,34.07,16.15,19.011575513492733
22.88,15.17,92.9,69.17,29.27,16.21,19.225274606338527
25.21,16.25,91.9,60.41,27.47,15.43,16.809825999694315
24.41,16.01,90.2,63.17,23.2,14.78,17.62580085680238
17.71,14.29,94.0,81.2,53.44,6085.0,22.22682811867487
19.52,15.92,95.2,80.8,68.72,5666.0,21.90743146384498
17.78,14.78,94.6,87.0,72.7,2033.0,23.530273169414503
17.51,14.62,92.1,83.0,66.72,7.73,22.532022851166023
19.04,14.37,94.5,78.6,48.83,12.33,21.577495781815955
21.35,14.54,94.9,77.1,42.69,13.29,21.247748081311496
21.5,15.41,95.0,78.2,47.49,14.55,21.485794090589085
23.68,15.72,95.3,73.9,32.34,14.8,20.499808372270003
23.94,15.64,95.8,71.1,33.28,13.31,19.711308803969374
21.5,14.84,95.4,74.0,37.62,13.49,20.458896443350056
18.3,13.63,88.5,68.65,48.06,9.38,18.855345895437758
18.36,11.58,94.0,74.0,41.23,14.81,20.41224277988381
20.36,12.62,95.8,71.5,31.88,14.62,19.839815925459938
19.31,15.01,83.6,52.31,25.62,14.8,14.573230890314328
16.78,10.55,90.3,61.86,31.36,13.04,17.170689323148217
17.51,11.72,91.4,66.22,32.96,10.5,18.362209627556503
20.18,14.74,83.6,54.18,20.75,7.24,15.141198071504464
15.58,11.35,61.16,41.74,28.76,13.95,11.605665336807574
16.51,10.24,76.2,50.52,25.96,14.14,14.071556442390985
15.38,8.52,94.6,73.2,44.5,10.74,20.14989506915744
14.72,10.09,94.2,70.6,51.33,10.75,19.350872805461233
15.73,13.12,89.2,77.7,71.8,4206.0,21.026939059532925
18.9,12.82,96.4,83.7,55.91,10.04,22.875621088802912
19.78,14.16,96.8,67.22,37.5,4602.0,18.585793708260425
16.25,11.12,89.4,62.28,30.43,13.03,17.297511261558473
11.41,9.43,91.0,77.7,60.76,2.24,21.171632218352524
18.05,10.45,93.9,59.14,17.88,12.25,16.557523993428063
15.71,11.9,75.0,47.67,26.89,12.83,13.269924759265708
16.18,7.89,87.5,60.81,20.88,12.08,16.992450910981557
17.38,8.36,89.1,63.55,25.15,12.66,17.709697777508662
18.52,12.07,88.0,56.01,30.83,9.83,15.55221212535761
17.78,10.35,88.6,62.32,35.63,12.24,17.251594006071294
17.51,9.9,92.9,73.1,39.57,11.19,20.185172341397504
19.58,14.51,92.1,61.16,29.91,5835.0,16.992052769114554
14.2,10.45,80.2,61.22,29.44,6.748,17.01396340777768
22.65,18.63,72.2,50.89,29.09,9.72,14.146763514748304
24.41,17.51,79.0,51.57,27.6,11.66,14.349188760323283
24.17,14.65,87.5,66.44,27.55,11.97,18.486876174065422
20.85,13.29,87.8,68.4,41.63,9.44,18.863002499471644
17.78,12.68,85.5,67.19,46.31,7.18,18.474760647927518
17.98,10.64,89.5,70.6,34.7,10.82,19.55516332053964
20.83,12.4,93.7,72.1,30.88,10.6,20.01907708667305
19.58,12.62,94.9,62.11,31.16,9.98,17.242200895087954
16.85,10.21,91.8,59.91,32.63,10.26,16.615982405161727
17.85,9.79,93.9,74.0,34.63,9.35,20.49770841012042
14.94,9.13,92.6,73.2,41.78,4102.0,20.184560922168334
17.85,12.3,94.3,76.3,48.21,6.236,20.954254859270314
21.52,14.81,95.6,60.43,26.96,5.701,16.82074120749688
18.18,14.21,94.7,75.2,45.84,5182.0,20.682999279998572
16.65,9.53,93.9,75.4,36.04,9.98,20.866826542726898
18.65,9.18,94.1,72.9,29.49,10.62,20.259079013879926
17.78,9.16,92.1,65.15,26.62,9.28,18.13851358838121
20.16,9.94,88.4,60.62,24.16,10.89,16.903906281352132
20.65,10.59,82.8,55.57,13.08,10.8,15.606171382469098
19.45,10.12,91.9,60.2,18.82,11.41,16.84416795495831
17.71,11.09,89.0,58.91,38.3,8.24,16.280088937022033
13.53,9.01,92.4,69.68,40.05,8.89,19.23495797270993
14.6,6683.0,96.7,78.4,41.65,10.53,358.7672048799562
16.71,6.833,94.7,71.5,26.36,10.69,19.90966343399118
13.75,7.29,95.9,80.7,49.42,8.89,22.14566983531246
11.63,9.29,95.0,83.2,71.2,3.21,22.523354654079125
12.83,7.64,96.5,84.9,56.64,5468.0,23.192937434788092
14.43,10.05,95.1,83.1,57.68,5.764,22.68651009914558
14.75,10.45,93.9,74.6,50.02,7.11,20.46407160492055
13.83,11.3,94.7,82.7,62.29,4.358,22.51242475790133
13.16,10.45,66.72,55.07,36.45,10.72,15.237145257263364
16.43,11.74,67.15,50.18,34.84,8.23,13.898454847398417
16.8,13.86,51.03,41.47,29.84,8.8,11.522998889753646
15.94,12.97,75.6,46.94,28.7,10.51,13.051690962436954
13.22,8.58,94.6,71.1,45.15,9.12,19.563800723340965
17.9,9.6,96.7,73.0,38.75,10.4,20.16792690749877
16.72,13.23,86.0,54.07,29.09,10.4,15.030202212423099
15.81,9.31,88.1,67.05,34.17,10.69,18.57812511297395
19.65,12.95,90.3,64.24,29.76,7.28,17.84949313199389
20.51,13.52,89.6,56.65,18.85,6.338,15.850616955983721
17.41,14.03,73.3,45.34,18.52,6016.0,12.689007663171775
14.22,6.842,90.0,61.25,27.71,10.7,17.040878876385563
12.88,4645.0,95.4,71.0,34.33,11.74,266.78321180897706
12.9,5227.0,96.0,77.2,49.41,9.77,381.6301305910482
18.44,12.24,93.0,65.58,32.18,10.18,18.193729581191164
17.32,11.69,77.7,54.64,31.45,9.09,15.166037128196077
13.95,8.74,94.3,82.4,54.14,6.927,22.545335718757432
16.47,9.07,95.1,74.9,39.16,9.67,20.687507164979372
15.08,9.41,88.5,75.8,38.22,7.63,20.948685755465355
14.28,8.25,95.9,79.3,46.74,11.94,21.7982143592392
14.2,7.39,95.8,74.6,34.09,10.11,20.670929810858617
15.59,8.16,91.6,71.7,35.3,11.98,19.85221161519862
14.16,8.15,91.9,76.1,48.37,6385.0,20.897244848629047
15.54,9.54,77.7,54.93,26.97,11.61,15.28997484568389
15.13,6.632,89.7,65.67,28.37,12.58,18.26292185331138
16.26,6.821,92.8,72.9,31.57,13.01,20.23229662700105
15.86,8.06,95.1,78.3,43.4,11.38,21.568720340758496
20.75,13.71,79.3,57.27,39.79,10.63,15.812326321727465
20.83,14.74,86.3,64.65,37.41,10.27,17.876555778856268
16.02,13.06,81.5,44.24,25.97,11.27,12.322267853412301
14.75,11.35,67.36,47.52,33.5,8.63,13.172870844855609
21.81,16.35,70.4,51.87,29.27,12.18,14.41750124327511
16.08,12.78,54.35,41.17,28.37,13.13,11.450195061150142
13.01,10.11,57.55,37.65,27.71,12.63,10.475480316501832
17.5,9.9,61.49,34.46,13.84,14.3,9.673187684332234
19.88,11.88,71.9,45.34,26.28,13.69,12.626363437252664
20.68,12.11,81.7,51.55,19.83,14.15,14.414719219615233
17.7,9.52,97.1,72.8,33.41,14.03,20.18086774234637
17.04,8.93,95.8,76.0,38.54,14.39,20.9995503484834
17.24,9.85,97.8,70.4,38.88,14.03,19.447992415827272
19.35,10.83,91.1,63.95,35.8,14.37,17.700857572622986
19.5,11.63,93.4,53.41,21.25,12.96,14.921066312731902
19.89,13.64,55.81,36.72,16.18,13.51,10.292290104229942
15.33,11.05,68.8,49.46,27.57,11.71,13.762321192821055
18.17,10.02,79.1,49.51,16.57,15.51,13.87322002564025
21.99,12.42,85.5,59.59,33.12,15.01,16.522298258777358
18.82,11.88,87.2,67.55,43.45,15.31,18.60719395979686
19.75,11.0,87.0,63.23,33.67,16.0,17.525330053318825
21.01,11.89,88.7,57.67,29.16,16.28,16.030154472477737
18.3,10.46,92.6,67.48,31.35,11.77,18.73071519232648
13.67,9.82,93.3,72.1,50.48,9.24,19.772576097919874
13.68,10.56,80.4,62.29,46.98,8.31,17.12030494159934
16.06,10.58,95.4,67.56,43.14,12.47,18.613325164469344
15.59,8.65,97.7,75.0,22.64,15.42,20.93389410046824
10.44,7.79,88.7,78.4,69.07,5199.0,21.25219432649007
14.59,9.04,95.1,72.8,47.67,16.49,19.999796289988044
19.02,9.28,97.1,70.5,27.15,17.2,19.621291701416585
21.61,10.66,92.1,61.66,16.23,17.67,17.281363940669806
22.52,12.83,71.9,44.67,16.37,12.63,12.51878172872606
17.04,10.91,87.4,55.58,29.43,13.66,15.44655374254324
15.93,8.0,92.6,72.2,27.63,9.41,20.088343127547528
13.94,7.42,95.6,75.4,40.55,14.6,20.807283009463426
13.48,8.2,96.2,57.06,26.91,17.38,15.883164875874986
12.68,8.42,70.3,44.02,26.37,19.42,12.257944688396183
15.26,9.73,91.9,65.95,43.39,12.2,18.166974923536372
18.57,15.73,92.0,54.64,40.76,11.22,15.07656724540243
19.7,15.08,79.3,57.14,34.61,16.4,15.82822151725252
22.28,15.28,90.4,53.35,16.63,15.4,14.948549580700476
22.79,17.54,80.1,54.21,34.05,15.7,15.02202804554121
28.06,19.15,81.8,47.73,18.23,12.93,13.360380579517956
23.06,18335.0,58.17,46.101,30.35,5194.0,6377.01264931664
17.39,14.11,57.49,44.91,32.64,10.23,12.45653657840408
22.59,16.67,67.83,48.94,28.67,13.98,13.608415439017193
25.95,18.62,80.2,54.55,31.91,19.18,15.136846067653654
25.15,16.9,88.2,60.69,22.94,19.88,16.936705305956238
26.47,17.32,91.5,51.41,19.68,20.27,14.37685822106891
19.86,13.4,74.4,48.7,31.6,19.54,13.516223895507517
18.82,11.18,76.7,47.14,27.41,20.02,13.118053779194124
19.08,11.78,94.3,56.68,21.03,19.71,15.836809717152862
22.17,14.04,93.2,60.01,27.4,18.94,16.699204673943058
19.75,13.95,75.8,50.46,23.95,17.06,14.072962241589634
21.45,13.69,76.0,49.82,26.53,20.33,13.871674749706232
23.23,14.4,80.7,53.28,20.01,21.22,14.89681055005418
26.47,15.9,85.2,49.33,10.11,21.2,13.88027659836036
27.86,17.99,51.38,30.9,13.57,16.26,8.675818701996592
30.23,19.93,52.18,28.72,9.17,21.33,8.086496041117641
32.0,21.41,47.57,25.16,10.3,22.7,7.079242693666341
28.6,19.85,55.11,28.56,10.9,22.08,8.03251916645343
20.28,14.28,66.73,44.52,28.81,15.86,12.378261116684113
17.1,12.93,68.93,48.64,31.68,17.34,13.498945214549186
18.88,13.52,70.0,50.34,33.02,22.34,13.958883110849113
19.55,13.63,80.8,51.8,31.33,17.55,14.378870758249533
20.35,15.19,64.84,43.13,29.01,17.68,11.990358113589524
24.3,18.01,64.22,39.83,23.94,21.68,11.108908265978993
22.26,14.96,93.3,57.82,34.32,23.02,16.019156663274085
19.41,12.48,95.0,56.16,26.8,24.45,15.633783582329654
22.23,13.28,87.6,53.55,23.62,22.93,14.93765717205982
20.06,13.64,95.3,72.8,43.51,20.02,20.05233007420347
23.1,15.71,92.4,60.76,31.46,23.78,16.864314709354545
25.08,17.0,78.1,49.32,29.06,24.14,13.710457424137598
26.2,18.21,78.5,53.4,29.58,23.7,14.839734948347159
26.16,20.49,55.07,25.81,5653.0,25.55,1.6295672366928957
22.04,15.48,65.38,36.63,13.97,25.58,10.2815281057822
22.7,14.74,70.0,43.63,19.15,25.73,12.20566838597205
27.13,18.1,73.3,36.13,12.5,25.89,10.150733667547874
24.62,17.22,90.5,48.53,21.15,25.41,13.558726004218563
