MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall,ET_PM,Sugarcane_Growth
26.52,20.25,77.4,46.17,21.54,27.89,12.89652308,Yes
20.83,15.37,95.3,75.9,40.22,20.35,20.94969795,Yes
19.12,13.96,96.8,77.5,45.1,9.3,21.32546041,Yes
22.01,16.05,95.2,63.82,28.67,25.16,17.7450153,Yes
19.04,15.09,95.4,76.8,49.16,14.07,21.07895603,Yes
18.72,14.53,96.7,79.8,54.84,11,21.82435349,Yes
22.68,16.96,98.1,64.56,30.61,23.88,17.92854392,Yes
24.67,17.72,89.9,55.8,24.4,27.62,15.55753424,No
24.41,17.42,90.8,59.09,24.94,28.13,16.46909847,No
24.47,18.29,94.8,59.2,37.34,28.18,16.37010262,No
26.19,18.31,95.8,69.96,42.86,27.63,19.27801904,No
26.67,20.09,96.8,51.6,15,26.78,14.47326931,No
27.32,20.22,67.2,39.73,22.8,23.24,11.08911762,No
27.59,20.22,76.4,43.03,14.8,28.2,12.07139689,No
27.59,20.52,84.3,49.39,26.8,28.16,13.74957573,No
27.92,20.87,93.5,59.71,28.4,27.46,16.60520732,No
26.19,19.28,96.9,69.09,32.59,26.04,19.16245419,No
24.94,18.11,94.2,74.1,31.01,13.96,20.5727235,No
26.72,19.08,95.6,66.18,34.67,27.41,18.33118483,No
21.62,17.73,92,78.4,57.83,15.51,21.40165821,No
19.05,16.42,94.9,87.5,65.32,5461,23.774208,No
26.14,17.98,97.3,82.8,41.14,11.15,22.84087361,No
27.86,21.06,95.5,63.87,28.86,26.7,17.75680657,No
25.88,20.21,92.2,66.25,39.41,14.87,18.29571331,No
29.79,21.79,96.5,57.98,20.2,29.26,16.20865966,No
31.23,24.32,79,43.34,21.79,29.01,12.10424982,No
30.63,24.54,70.1,43.16,22.86,28.77,12.04606218,No
32.56,24.89,74.8,44.55,24.99,28.78,12.41705439,No
29.79,23.86,68.12,43.51,23.93,27.66,12.13550545,No
28.99,22.87,71.9,46.98,22.26,28.68,13.11700375,No
28.39,22.08,78.3,53.04,24.34,27.82,14.78903406,No
29.72,22.52,90.1,65.56,30.39,28,18.20914987,No
30.52,22.26,95.9,68.31,20.6,25.74,19.09158789,No
25.61,20.38,89.4,58.56,36.9,28.1,16.19788723,No
26.06,20.07,92.8,59.44,29.68,29.55,16.51666692,No
27.46,20.04,89.8,46.48,20.6,29.36,12.99061009,No
30.12,20.85,61.81,37.26,17.2,26.45,10.43711691,No
24.74,18.99,47.47,26.28,12.47,30.54,7.383942248,No
30.12,22.19,41.03,25.03,11.86,30.03,7.035788627,No
25.68,19.94,94.6,53.93,28.4,29.2,14.99776972,No
26.46,19.38,90.6,57.17,31.74,29.2,15.86519404,No
26.73,20.02,94.2,59.11,30.6,28.66,16.41531884,No
28.72,21.88,73.5,49.62,26.8,29.16,13.8140166,No
29.46,23.09,70.2,41.41,25.66,29.79,11.53705468,No
31.58,24.45,61.94,31.32,13.53,29.87,8.794000281,No
29.86,24.08,84.5,37.37,21.93,29.74,10.43587263,No
27.72,21.47,89.4,62.27,40.47,29.41,17.1852679,No
27.86,21.02,88.1,51.52,25,29.07,14.35886517,No
29.79,22.64,96.2,59.59,32.13,25.66,16.53248475,No
31.56,23.95,96.2,60.06,22.79,27.64,16.76236067,No
30.44,24.18,87.7,60.13,35.66,27.76,16.64542028,No
28.66,22.64,90,70.2,42.53,28.48,19.34854811,No
29.19,22.47,91,68.37,38.94,23.77,18.88690141,No
31.9,24.94,89.5,55.69,27.05,24.63,15.50081884,No
36.15,26.02,87.6,61.65,24.72,26.55,17.18533414,No
40.33,29.5,85.6,34.49,8.86,27.45,9.712667248,No
34.16,26.38,80.9,44.12,22.19,28.58,12.31897549,No
35.5,26.3,88.4,54.36,20.39,28.59,15.19515501,No
38.2,27.61,81.4,48.19,13.06,28.01,13.53411287,No
39.33,28.17,79.8,47.39,9.86,26.36,13.33683414,No
37.36,29.07,85.6,32.47,6.463,29.29,9.157901192,No
32.1,24.98,73.9,38.9,23.79,29.55,10.85069313,No
30.45,23.43,90.2,56.92,23.2,27.61,15.88204507,No
34.7,25.28,92.1,60.24,28.45,28.51,16.75221948,No
40.87,29.02,93.1,43.43,9.06,28.41,12.22844375,No
30.25,25.32,87.1,60.2,18.48,25.6,16.84809609,No
30.04,24,91,65.34,37.65,27.39,18.06466472,No
34.9,26.5,91.4,45.97,11.06,26.58,12.9269644,No
28.59,23.22,74.8,43.09,28.46,21.35,11.9835659,No
28.52,21.68,95,65.91,32.06,27.49,18.2867222,No
29.72,22.66,91.2,54.17,19.06,28.63,15.15475849,No
33.36,24.33,77.7,40.19,18.46,28.46,11.24848763,No
32.9,25.84,73.2,42.52,20.66,28.2,11.88406629,No
29.52,23.93,68.66,45.23,27.2,27.86,12.58900846,No
29.32,22.88,76.4,60.04,31.59,26.57,16.66389308,No
30.36,23.26,76,56.42,37.07,27.85,15.60510463,No
32.43,24.8,88.6,61.08,33.32,27.58,16.93348235,No
33.16,25.3,87.1,56.19,27.53,26.88,15.63533655,No
33.03,25.57,75.8,42.47,19.99,26.87,11.87506869,No
35.15,26.45,76.5,48.5,24.12,25.93,13.52544482,No
36.43,27.64,84.7,41.39,7.8,19.32,11.66362368,No
32.43,25.02,61.51,35.53,15.86,27.72,9.961229867,No
34.96,27.47,61.92,34.49,18.79,27.77,9.651861404,No
34.3,26.55,63.72,35.94,12.39,28.27,10.09849103,No
35.69,25.82,64.01,38.43,13.59,27.38,10.78983241,No
36.48,27.58,77.6,34.63,13.33,27.43,9.724333502,No
30.12,24.03,94.7,63.41,41.19,26.36,17.4916951,No
29.98,23.83,84.2,57.67,27.73,26.22,16.04514274,No
32.56,25.01,85.9,46.37,13.79,26.34,13.01669123,No
35.43,26.81,64.85,35.63,17.39,23.33,9.979601016,No
38.93,28.54,56.76,31.79,10.53,23.44,8.943391037,No
37.14,27.23,86,45.89,19.39,24.47,12.83593778,No
26.81,22.58,86,70.3,47.41,18.07,19.31684603,No
26.86,21.99,88.5,64.07,38.93,23.64,17.6992686,No
26.39,21.3,79.4,61.47,33.6,24.53,17.03879296,No
26.53,21.56,82.9,57,30,26.16,15.83581859,No
28.92,22.47,86.2,46.19,23.4,26.29,12.8866354,No
32.23,23.74,87.7,43.06,12.66,26.46,12.09626913,No
33.83,25.67,43.57,25.71,10.79,25.47,7.231960244,No
38.48,28.23,41.03,20.28,5597,23.54,1.389447079,No
